t_index term      df
1     aaron  1
2     abandon  1
3     abc  7
4     abdulkarim  1
5     abdullah  2
6     abidjan  10
7     abil  2
8     abl  3
9     aboard  13
10     abort  2
11     abroad  1
12     abruptli  1
13     absenc  1
14     abus  3
15     acceler  1
16     accent  1
17     accept  11
18     accid  2
19     accompani  3
20     accord  12
21     account  14
22     accus  14
23     acknowledg  6
24     acquir  1
25     acquitt  1
26     across  10
27     act  17
28     action  6
29     activ  9
30     activist  5
31     actual  2
32     ad  3
33     adapt  2
34     address  5
35     aden  32
36     adjoin  2
37     adjourn  2
38     adjust  1
39     adlai  1
40     administr  8
41     admir  6
42     admit  3
43     advanc  6
44     advantag  1
45     advic  1
46     advis  7
47     advisor  1
48     affabl  1
49     affair  1
50     affect  2
51     afghanistan  5
52     afloat  1
53     africa  5
54     african  13
55     aft  1
56     aftehock  1
57     aftermath  1
58     afternoon  5
59     aftershock  6
60     afterward  1
61     agassi  21
62     age  2
63     agenc  11
64     agenda  1
65     agent  16
66     ago  35
67     agon  2
68     agoni  1
69     agre  5
70     agreement  4
71     agricultur  2
72     aha  1
73     ahead  2
74     ahmedabad  1
75     aid  10
76     aim  3
77     air  17
78     aircraft  4
79     airlift  1
80     airlin  1
81     airport  1
82     al  17
83     ala  2
84     alan  2
85     alarm  1
86     alasan  1
87     alassan  3
88     alberto  41
89     albright  9
90     alert  8
91     alex  2
92     alexa  1
93     ali  1
94     aliryani  1
95     alisan  1
96     aliv  13
97     alleg  7
98     allegedli  5
99     allen  8
100     alley  1
101     alli  8
102     allianc  1
103     alliz  1
104     allow  4
105     almost  8
106     alon  1
107     along  4
108     alongsid  1
109     alreadi  12
110     alribat  1
111     alshahrani  1
112     also  19
113     alter  2
114     although  6
115     altogeth  1
116     alway  4
117     amanda  1
118     ambassador  4
119     ambiti  2
120     ambival  1
121     ambul  1
122     america  39
123     american  115
124     amid  3
125     among  12
126     amput  1
127     analyst  2
128     ancestor  1
129     anchor  1
130     andoslavia  1
131     andr  21
132     andrea  3
133     andrew  2
134     anew  2
135     anger  6
136     angl  1
137     angri  7
138     anguish  1
139     animos  1
140     anjana  1
141     anjay  1
142     ank  1
143     ankl  4
144     anna  2
145     anniversari  1
146     announc  16
147     annoy  1
148     annual  2
149     annul  6
150     anoth  26
151     answer  1
152     anthoni  5
153     antiterror  1
154     antiterrorist  3
155     antiu  1
156     antonia  1
157     anxious  1
158     anyon  5
159     anyth  2
160     ap  14
161     apart  9
162     apec  1
163     apolog  1
164     appar  35
165     appeal  5
166     appear  12
167     appl  1
168     appli  1
169     applic  2
170     appoint  8
171     apprehend  1
172     apprentic  1
173     appropri  2
174     april  5
175     arab  3
176     arabia  6
177     arabian  7
178     arafat  1
179     archaeolog  2
180     archi  1
181     architect  3
182     arctic  2
183     area  16
184     arena  3
185     arent  1
186     argentina  1
187     argu  1
188     arguabl  1
189     argument  1
190     arkansa  2
191     arm  13
192     armi  15
193     armor  2
194     arnaud  6
195     arno  1
196     arnold  1
197     arnot  1
198     aros  1
199     around  14
200     array  1
201     arrest  11
202     arriv  25
203     arsen  3
204     arthur  1
205     articl  3
206     articul  1
207     ash  1
208     ashcroft  9
209     asia  4
210     asian  1
211     asiapacif  1
212     asid  1
213     ask  11
214     assembl  1
215     assert  1
216     assess  3
217     assign  2
218     assist  2
219     associ  4
220     assum  1
221     assumpt  2
222     assur  6
223     asylum  1
224     atal  1
225     athlet  1
226     atlanta  3
227     atop  4
228     attach  1
229     attack  111
230     attempt  11
231     attend  4
232     attent  11
233     attorney  4
234     attract  1
235     audienc  2
236     aug  1
237     august  3
238     ausi  1
239     aussi  4
240     austin  2
241     australia  6
242     australian  45
243     austria  1
244     author  38
245     authoritarian  7
246     autocrat  7
247     autopilot  1
248     avail  1
249     avert  1
250     avoid  1
251     aw  1
252     await  4
253     award  1
254     away  11
255     babi  2
256     back  42
257     backer  2
258     backstop  1
259     bacon  1
260     bad  4
261     badli  2
262     balanc  1
263     balconi  2
264     balkan  2
265     ballot  3
266     ban  1
267     bandag  1
268     bang  1
269     bank  1
270     banquet  1
271     bar  7
272     barak  1
273     barb  1
274     barbara  3
275     bare  6
276     barent  12
277     bargain  1
278     barkova  1
279     barri  1
280     barricad  1
281     base  16
282     baselin  2
283     basic  1
284     bastion  2
285     batch  1
286     bath  1
287     bathroom  1
